,Exercise,URL,Main Muscle Group,Type,Equipment,Picture_A,Picture_B
0,90/90 Hamstring Stretch,https://www.jefit.com/exercises/465/90/90-Hamstring-Stretch,Upper Legs,Stretching,Body Only,https://www.jefit.com/images/exercises/1080_664/1860.jpg,https://www.jefit.com/images/exercises/1080_664/1861.jpg
1,Ab Draw Leg Slide,https://www.jefit.com/exercises/670/Ab-Draw-Leg-Slide,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/2680.jpg,https://www.jefit.com/images/exercises/1080_664/2681.jpg
2,Ab Roll,https://www.jefit.com/exercises/673/Ab-Roll,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/2692.jpg,https://www.jefit.com/images/exercises/1080_664/2693.jpg
3,Abdominal Hip Roll,https://www.jefit.com/exercises/981/Abdominal-Hip-Roll,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/3924.jpg,https://www.jefit.com/images/exercises/1080_664/3925.jpg
4,Abdominal Pendulum,https://www.jefit.com/exercises/967/Abdominal-Pendulum,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/3868.jpg,https://www.jefit.com/images/exercises/1080_664/3869.jpg
5,Aerobics,https://www.jefit.com/exercises/308/Aerobics,Cardio,Cardio,Others,https://www.jefit.com/images/exercises/1080_664/1232.jpg,https://www.jefit.com/images/exercises/1080_664/1232.jpg
6,Air Bike,https://www.jefit.com/exercises/57/Air-Bike,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/228.jpg,https://www.jefit.com/images/exercises/1080_664/229.jpg
7,All Fours Quad Stretch,https://www.jefit.com/exercises/464/All-Fours-Quad-Stretch,Upper Legs,Stretching,Body Only,https://www.jefit.com/images/exercises/1080_664/1856.jpg,https://www.jefit.com/images/exercises/1080_664/1857.jpg
8,Alternate Heel Touches,https://www.jefit.com/exercises/58/Alternate-Heel-Touches,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/232.jpg,https://www.jefit.com/images/exercises/1080_664/233.jpg
9,Alternating Arm Cobra,https://www.jefit.com/exercises/626/Alternating-Arm-Cobra,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/2504.jpg,https://www.jefit.com/images/exercises/1080_664/2505.jpg
10,Alternating Diagonal Leg Bound,https://www.jefit.com/exercises/892/Alternating-Diagonal-Leg-Bound,Upper Legs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/3568.jpg,https://www.jefit.com/images/exercises/1080_664/3569.jpg
11,Alternating Floor Leg Raise,https://www.jefit.com/exercises/982/Alternating-Floor-Leg-Raise,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/3928.jpg,https://www.jefit.com/images/exercises/1080_664/3929.jpg
12,Alternating Leg Bridge,https://www.jefit.com/exercises/610/Alternating-Leg-Bridge,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/2440.jpg,https://www.jefit.com/images/exercises/1080_664/2441.jpg
13,Alternating Reach and Catch,https://www.jefit.com/exercises/968/Alternating-Reach-and-Catch,Abs,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/3872.jpg,https://www.jefit.com/images/exercises/1080_664/3873.jpg
14,Alternating Reverse Hyper on Flat Bench,https://www.jefit.com/exercises/734/Alternating-Reverse-Hyper-on-Flat-Bench,Abs,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/2936.jpg,https://www.jefit.com/images/exercises/1080_664/2937.jpg
15,Ankle Circles,https://www.jefit.com/exercises/289/Ankle-Circles,Lower Legs,Stretching,Body Only,https://www.jefit.com/images/exercises/1080_664/1156.jpg,https://www.jefit.com/images/exercises/1080_664/1157.jpg
16,Ankle Dorsiflexion,https://www.jefit.com/exercises/546/Ankle-Dorsiflexion,Lower Legs,Stretching,Body Only,https://www.jefit.com/images/exercises/1080_664/2184.jpg,https://www.jefit.com/images/exercises/1080_664/2185.jpg
17,Arm Circles,https://www.jefit.com/exercises/867/Arm-Circles,Shoulders,Stretching,Body Only,https://www.jefit.com/images/exercises/1080_664/3468.jpg,https://www.jefit.com/images/exercises/1080_664/3469.jpg
18,Assisted Chest Stretch,https://www.jefit.com/exercises/835/Assisted-Chest-Stretch,Chest,Stretching,Body Only,https://www.jefit.com/images/exercises/1080_664/3340.jpg,https://www.jefit.com/images/exercises/1080_664/3341.jpg
19,Assisted Hyperextension,https://www.jefit.com/exercises/354/Assisted-Hyperextension,Back,Strength,Body Only,https://www.jefit.com/images/exercises/1080_664/1416.jpg,https://www.jefit.com/images/exercises/1080_664/1417.jpg
20,Back Hyperextension,https://www.jefit.com/exercises/92/Back-Hyperextension,Back,Stretching,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/368.jpg,https://www.jefit.com/images/exercises/1080_664/369.jpg
21,Back Stretch,https://www.jefit.com/exercises/822/Back-Stretch,Back,Stretching,Body Only,https://www.jefit.com/images/exercises/1080_664/3288.jpg,https://www.jefit.com/images/exercises/1080_664/3289.jpg
22,Back Stretch,https://www.jefit.com/exercises/847/Back-Stretch,Chest,Stretching,Body Only,https://www.jefit.com/images/exercises/1080_664/3388.jpg,https://www.jefit.com/images/exercises/1080_664/3389.jpg
23,Band Back Fly,https://www.jefit.com/exercises/53/Band-Back-Fly,Triceps,Strength,Bands,https://www.jefit.com/images/exercises/1080_664/212.jpg,https://www.jefit.com/images/exercises/1080_664/213.jpg
24,Band Bench Press,https://www.jefit.com/exercises/370/Band-Bench-Press,Chest,Strength,"Bands, Bench",https://www.jefit.com/images/exercises/1080_664/1480.jpg,https://www.jefit.com/images/exercises/1080_664/1481.jpg
25,Band Calf Raise,https://www.jefit.com/exercises/287/Band-Calf-Raise,Lower Legs,Strength,Bands,https://www.jefit.com/images/exercises/1080_664/1148.jpg,https://www.jefit.com/images/exercises/1080_664/1149.jpg
26,Band Cross-Over,https://www.jefit.com/exercises/1/Band-Cross-Over,Chest,Strength,Bands,https://www.jefit.com/images/exercises/1080_664/4.jpg,https://www.jefit.com/images/exercises/1080_664/5.jpg
27,Band Squat,https://www.jefit.com/exercises/215/Band-Squat,Upper Legs,Strength,Bands,https://www.jefit.com/images/exercises/1080_664/860.jpg,https://www.jefit.com/images/exercises/1080_664/861.jpg
28,Band Upright Row,https://www.jefit.com/exercises/185/Band-Upright-Row,Shoulders,Strength,Bands,https://www.jefit.com/images/exercises/1080_664/740.jpg,https://www.jefit.com/images/exercises/1080_664/741.jpg
29,Barbell 1/2 Squat,https://www.jefit.com/exercises/1221/Barbell-1/2-Squat,Upper Legs,Strength,Barbell,https://www.jefit.com/images/exercises/1080_664/4884.jpg,https://www.jefit.com/images/exercises/1080_664/4885.jpg
30,Barbell 1/4 Squat,https://www.jefit.com/exercises/1202/Barbell-1/4-Squat,Upper Legs,Strength,Barbell,https://www.jefit.com/images/exercises/1080_664/4808.jpg,https://www.jefit.com/images/exercises/1080_664/4809.jpg
31,Barbell Ab Rollout ,https://www.jefit.com/exercises/294/Barbell-Ab-Rollout-,Abs,Strength,Barbell,https://www.jefit.com/images/exercises/1080_664/1176.jpg,https://www.jefit.com/images/exercises/1080_664/1177.jpg
32,Barbell Ab Rollout,https://www.jefit.com/exercises/66/Barbell-Ab-Rollout,Abs,Strength,Barbell,https://www.jefit.com/images/exercises/1080_664/264.jpg,https://www.jefit.com/images/exercises/1080_664/265.jpg
