index,url,Muscle,Video,Main Muscle Group,Detailed Muscle Group,Type,Mechanics,Equipment,Difficulty
0,https://www.jefit.com/exercises/465/90/90-Hamstring-Stretch,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296130.hd.mp4?s=d195c61a9ade6d3627b6a39f6a357e33b865b902&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Stretching,N/A,Body Only,Beginner
1,https://www.jefit.com/exercises/670/Ab-Draw-Leg-Slide,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297513.hd.mp4?s=adb1dc35f3f1e336eeecd5a1380869c7edefae0e&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Intermediate
2,https://www.jefit.com/exercises/673/Ab-Roll,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297530.hd.mp4?s=0098f0397cf824424b6060b2ecfe5b7985a397cb&profile_id=119&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
3,https://www.jefit.com/exercises/981/Abdominal-Hip-Roll,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306876.hd.mp4?s=dcc465257483c961f281ad64abc5713b53c3b318&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
4,https://www.jefit.com/exercises/967/Abdominal-Pendulum,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306840.sd.mp4?s=50abf0cd0bb8684a5cc6bda8bdc0bca5752b89a2&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
5,https://www.jefit.com/exercises/308/Aerobics,https://www.jefit.com/images/exercises/b10.jpg,,Cardio,,Cardio,Isolation,Others,Beginner
6,https://www.jefit.com/exercises/57/Air-Bike,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273572.sd.mp4?s=46eac8400be5bfd6bfe82442cbd930eff5b77585&profile_id=165&oauth2_token_id=435967617,Abs,Obliques,Strength,Compound,Body Only,Beginner
7,https://www.jefit.com/exercises/464/All-Fours-Quad-Stretch,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296150.sd.mp4?s=2a23355c49d2613c11f86c58857fec36fd5d89d9&profile_id=165&oauth2_token_id=435967617,Upper Legs,Hamstrings,Stretching,N/A,Body Only,Intermediate
8,https://www.jefit.com/exercises/58/Alternate-Heel-Touches,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273578.sd.mp4?s=fb3e91d0a237198e8f4c07948c93f0ffa1c113b8&profile_id=164&oauth2_token_id=435967617,Abs,Obliques,Strength,Isolation,Body Only,Beginner
9,https://www.jefit.com/exercises/626/Alternating-Arm-Cobra,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297326.hd.mp4?s=170618c112afc6b1f630188f9ec450157a903540&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
10,https://www.jefit.com/exercises/892/Alternating-Diagonal-Leg-Bound,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160305320.hd.mp4?s=23979916260f301e6a3d92c3e5b96fbd94758a41&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Body Only,Beginner
11,https://www.jefit.com/exercises/982/Alternating-Floor-Leg-Raise,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306866.hd.mp4?s=fb95f94712f1658338d360e91b291c984ea1bae6&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
12,https://www.jefit.com/exercises/610/Alternating-Leg-Bridge,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297251.hd.mp4?s=232563f0d8b1b0e3578f185791e82137e74b6b66&profile_id=119&oauth2_token_id=435967617,Abs,,Strength,Compound,Body Only,Intermediate
13,https://www.jefit.com/exercises/968/Alternating-Reach-and-Catch,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306855.hd.mp4?s=de8b5ad9f5f7b1c1bc0e7e7c2de7e54571c32859&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
14,https://www.jefit.com/exercises/734/Alternating-Reverse-Hyper-on-Flat-Bench,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160304993.hd.mp4?s=144b2ab30e55280a8ac75552e5bc4afc4faf313f&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Compound,Bench,Intermediate
15,https://www.jefit.com/exercises/289/Ankle-Circles,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160280932.sd.mp4?s=71e1f45acbb62b7b357c52822f14f67a17481c77&profile_id=164&oauth2_token_id=435967617,Lower Legs,,Stretching,Isolation,Body Only,Beginner
16,https://www.jefit.com/exercises/546/Ankle-Dorsiflexion,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160297005.sd.mp4?s=eeb93504cad047304d7873e87c9c018a50a47bf5&profile_id=164&oauth2_token_id=435967617,Lower Legs,,Stretching,Compound,Body Only,Beginner
17,https://www.jefit.com/exercises/867/Arm-Circles,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160305280.sd.mp4?s=f238b3e48cc42cc64eb20d30cd7fe9b9ae9aefd7&profile_id=164&oauth2_token_id=435967617,Shoulders,,Stretching,Isolation,Body Only,Beginner
18,https://www.jefit.com/exercises/835/Assisted-Chest-Stretch,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160305239.sd.mp4?s=e0dfec87ef30cf5bad1e3f4bd71db89ca2be9911&profile_id=164&oauth2_token_id=435967617,Chest,,Stretching,Isolation,Body Only,Beginner
19,https://www.jefit.com/exercises/354/Assisted-Hyperextension,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160281004.sd.mp4?s=9798d55d686d5c775e309297cd3f0e4311a120fb&profile_id=164&oauth2_token_id=435967617,Back,Traps,Strength,Compound,Body Only,Intermediate
20,https://www.jefit.com/exercises/92/Back-Hyperextension,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160273636.hd.mp4?s=e45261f966f614324969fd7bef9141ea76251518&profile_id=113&oauth2_token_id=435967617,Back,Lower Back,Stretching,Compound,Machine - Strength,Beginner
21,https://www.jefit.com/exercises/822/Back-Stretch,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160305219.sd.mp4?s=7817a4785cbc33327719a9b9b673f3318fecd98e&profile_id=164&oauth2_token_id=435967617,Back,Lats,Stretching,Isolation,Body Only,Beginner
22,https://www.jefit.com/exercises/847/Back-Stretch,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160305259.hd.mp4?s=7c2bf7851dee547314e8e9b7d19335820f38d3b2&profile_id=119&oauth2_token_id=435967617,Chest,,Stretching,Isolation,Body Only,Beginner
23,https://www.jefit.com/exercises/53/Band-Back-Fly,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273570.hd.mp4?s=45082768229cb81eedc2759df724e1821c297e23&profile_id=113&oauth2_token_id=435967617,Triceps,Traps,Strength,Isolation,Bands,Beginner
24,https://www.jefit.com/exercises/370/Band-Bench-Press,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160281024.sd.mp4?s=eda3b2556103f220b4b6f73eed260ae3d8b613d3&profile_id=165&oauth2_token_id=435967617,Chest,Full,Strength,Compound,"Bands , Bench",Beginner
25,https://www.jefit.com/exercises/287/Band-Calf-Raise,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160280869.sd.mp4?s=144cd46d2ebb42dfb2986c0378e2fd816cc0827d&profile_id=165&oauth2_token_id=435967617,Lower Legs,Calves,Strength,Isolation,Bands,Beginner
26,https://www.jefit.com/exercises/1/Band-Cross-Over,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160273322.sd.mp4?s=8fb2bb5f6efe9d6c3f220bc55c38e0a863687493&profile_id=165&oauth2_token_id=435967617,Chest,Inner Chest,Strength,Compound,Bands,Beginner
27,https://www.jefit.com/exercises/215/Band-Squat,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160273839.sd.mp4?s=d3e2288090b864781bd6b110cf0521512726f991&profile_id=165&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Bands,Beginner
28,https://www.jefit.com/exercises/185/Band-Upright-Row,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273771.hd.mp4?s=1248cd33b534a7bdf4a0be7f96f40b863bbfb260&profile_id=113&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Bands,Beginner
29,https://www.jefit.com/exercises/1221/Barbell-1/2-Squat,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307266.sd.mp4?s=6532bbdb6d049152840aaf3dfdd748354dd00d83&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Barbell,Beginner
30,https://www.jefit.com/exercises/1202/Barbell-1/4-Squat,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307232.sd.mp4?s=6aac92695cdb62451a7dab3722317981af43fbb8&profile_id=165&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Barbell,Beginner
31,https://www.jefit.com/exercises/294/Barbell-Ab-Rollout-,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160280912.sd.mp4?s=fe702174843671f0e24d4d951fd1b7921b729bdb&profile_id=165&oauth2_token_id=435967617,Abs,Full,Strength,Compound,Barbell,Intermediate
32,https://www.jefit.com/exercises/66/Barbell-Ab-Rollout,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273588.hd.mp4?s=a1b93dc492c1093b04355da8b90b7997ed5db2a9&profile_id=113&oauth2_token_id=435967617,Abs,Lower Abs,Strength,Compound,Barbell,Intermediate
33,https://www.jefit.com/exercises/1154/Barbell-Alternating-Front-and-Back-Press,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307163.hd.mp4?s=be0e3d4af978b74010d5a5cf30ceeffb8d837e0a&profile_id=119&oauth2_token_id=435967617,Shoulders,,Strength,Compound,Barbell,Intermediate
34,https://www.jefit.com/exercises/399/Barbell-Behind-the-Back-Shrug,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160281087.hd.mp4?s=c7b6820b57ca15bc9cf4c797e7603abd17a623ec&profile_id=113&oauth2_token_id=435967617,Back,Forearms,Strength,Isolation,Barbell,Beginner
35,https://www.jefit.com/exercises/2/Barbell-Bench-Press,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160273318.hd.mp4?s=3e7adc31c89a4644e9bf80762e88ccefa2706e91&profile_id=119&oauth2_token_id=435967617,Chest,Full,Strength,Compound,Barbell,Beginner
36,https://www.jefit.com/exercises/468/Barbell-Bench-Squat-,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296127.sd.mp4?s=8d00bded23786451eeebe61a31beb8f72fcc5216&profile_id=164&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Barbell,Intermediate
37,https://www.jefit.com/exercises/3/Barbell-Bent-Over-Row,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160273330.sd.mp4?s=6efc4741b1382dcac67ef9275db2760aa68df3bc&profile_id=165&oauth2_token_id=435967617,Back,Traps,Strength,Compound,Barbell,Beginner
38,https://www.jefit.com/exercises/364/Barbell-Bicep-Drag-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160281014.sd.mp4?s=6977570d68892f7861c6d4fdbd7b2272fd5ff231&profile_id=165&oauth2_token_id=435967617,Biceps,,Strength,Compound,"Barbell , EZ Curl Bar",Intermediate
39,https://www.jefit.com/exercises/401/Barbell-Bradford-Rocky-Press,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281044.sd.mp4?s=dadc2d0dc74d143db94f22bb27271669d05f66b0&profile_id=164&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Barbell,Intermediate
40,https://www.jefit.com/exercises/205/Barbell-Bulgarian-Split-Squat,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160273819.hd.mp4?s=5f004fecf5d50166a79669145f7d7269756716e7&profile_id=119&oauth2_token_id=435967617,Upper Legs,Calves,Strength,Compound,Barbell,Intermediate
41,https://www.jefit.com/exercises/469/Barbell-Clean,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296144.hd.mp4?s=aee13326b29359512898c4318cbe129d02224e75&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Olympic Weight Lifting,Compound,Barbell,Expert
42,https://www.jefit.com/exercises/404/Barbell-Clean-and-Jerk,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281122.sd.mp4?s=d15d532eff716bd126bdeac088a74ab31d9804cd&profile_id=165&oauth2_token_id=435967617,Shoulders,Traps,Olympic Weight Lifting,Compound,Barbell,Expert
43,https://www.jefit.com/exercises/470/Barbell-Clean-Deadlift,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160296135.hd.mp4?s=9c3dfef0dca10930d4ce1d5a43f0a5ee86c7012c&profile_id=113&oauth2_token_id=435967617,Back,Hamstrings,Olympic Weight Lifting,Compound,Barbell,Intermediate
44,https://www.jefit.com/exercises/471/Barbell-Clean-From-Blocks,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296176.hd.mp4?s=dbb2d5c59014971c25fa7323e12110bd9c29c15c&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Olympic Weight Lifting,Compound,Barbell,Expert
45,https://www.jefit.com/exercises/472/Barbell-Clean-Pull,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296192.sd.mp4?s=4fe0eb56fd135e769a85309100602897c9280728&profile_id=164&oauth2_token_id=435967617,Upper Legs,Hamstrings,Olympic Weight Lifting,Compound,Barbell,Intermediate
46,https://www.jefit.com/exercises/4/Barbell-Close-Grip-Bench-Press,https://www.jefit.com/images/exercises/b7.jpg,,Triceps,Outer Chest,Strength,Compound,Barbell,Beginner
47,https://www.jefit.com/exercises/365/Barbell-Close-Grip-Concentration--Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160281140.hd.mp4?s=28998bfd08362b9e253d0c9d1600a586009eadb8&profile_id=119&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Barbell,Intermediate
48,https://www.jefit.com/exercises/99/Barbell-Close-Grip-Curl,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160273651.sd.mp4?s=7429bf5de1242b5fa2773d78add5ec4ac89cbbd2&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Barbell,Beginner
