,Exercise,URL,Picture_A,Picture_B,Muscle,Video,Main Muscle Group,Detailed Muscle Group,Type,Mechanics,Equipment,Difficulty
0,90/90 Hamstring Stretch,https://www.jefit.com/exercises/465/90/90-Hamstring-Stretch,https://www.jefit.com/images/exercises/1080_664/1860.jpg,https://www.jefit.com/images/exercises/1080_664/1861.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296130.hd.mp4?s=d195c61a9ade6d3627b6a39f6a357e33b865b902&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Stretching,N/A,Body Only,Beginner
1,Ab Draw Leg Slide,https://www.jefit.com/exercises/670/Ab-Draw-Leg-Slide,https://www.jefit.com/images/exercises/1080_664/2680.jpg,https://www.jefit.com/images/exercises/1080_664/2681.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297513.hd.mp4?s=adb1dc35f3f1e336eeecd5a1380869c7edefae0e&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Intermediate
2,Ab Roll,https://www.jefit.com/exercises/673/Ab-Roll,https://www.jefit.com/images/exercises/1080_664/2692.jpg,https://www.jefit.com/images/exercises/1080_664/2693.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297530.hd.mp4?s=0098f0397cf824424b6060b2ecfe5b7985a397cb&profile_id=119&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
3,Abdominal Hip Roll,https://www.jefit.com/exercises/981/Abdominal-Hip-Roll,https://www.jefit.com/images/exercises/1080_664/3924.jpg,https://www.jefit.com/images/exercises/1080_664/3925.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306876.hd.mp4?s=dcc465257483c961f281ad64abc5713b53c3b318&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
4,Abdominal Pendulum,https://www.jefit.com/exercises/967/Abdominal-Pendulum,https://www.jefit.com/images/exercises/1080_664/3868.jpg,https://www.jefit.com/images/exercises/1080_664/3869.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306840.sd.mp4?s=50abf0cd0bb8684a5cc6bda8bdc0bca5752b89a2&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
5,Aerobics,https://www.jefit.com/exercises/308/Aerobics,https://www.jefit.com/images/exercises/1080_664/1232.jpg,https://www.jefit.com/images/exercises/1080_664/1232.jpg,https://www.jefit.com/images/exercises/b10.jpg,,Cardio,,Cardio,Isolation,Others,Beginner
6,Air Bike,https://www.jefit.com/exercises/57/Air-Bike,https://www.jefit.com/images/exercises/1080_664/228.jpg,https://www.jefit.com/images/exercises/1080_664/229.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273572.sd.mp4?s=46eac8400be5bfd6bfe82442cbd930eff5b77585&profile_id=165&oauth2_token_id=435967617,Abs,Obliques,Strength,Compound,Body Only,Beginner
7,All Fours Quad Stretch,https://www.jefit.com/exercises/464/All-Fours-Quad-Stretch,https://www.jefit.com/images/exercises/1080_664/1856.jpg,https://www.jefit.com/images/exercises/1080_664/1857.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296150.sd.mp4?s=2a23355c49d2613c11f86c58857fec36fd5d89d9&profile_id=165&oauth2_token_id=435967617,Upper Legs,Hamstrings,Stretching,N/A,Body Only,Intermediate
8,Alternate Heel Touches,https://www.jefit.com/exercises/58/Alternate-Heel-Touches,https://www.jefit.com/images/exercises/1080_664/232.jpg,https://www.jefit.com/images/exercises/1080_664/233.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273578.sd.mp4?s=fb3e91d0a237198e8f4c07948c93f0ffa1c113b8&profile_id=164&oauth2_token_id=435967617,Abs,Obliques,Strength,Isolation,Body Only,Beginner
9,Alternating Arm Cobra,https://www.jefit.com/exercises/626/Alternating-Arm-Cobra,https://www.jefit.com/images/exercises/1080_664/2504.jpg,https://www.jefit.com/images/exercises/1080_664/2505.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297326.hd.mp4?s=170618c112afc6b1f630188f9ec450157a903540&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
